t,open,high,low,close,volume
1752911100000,118174.9,118211.1,118174.9,118186.6,1185848.96335927
1752910800000,118219.7,118219.8,118170.9,118174.9,396594.057248248
1752910500000,118229,118229,118180,118219.7,543113.194854898
1752910200000,118283.9,118297.7,118200.8,118229,545790.257753686
1752909900000,118329.9,118330,118257.5,118284,1191192.693634001
1752909600000,118295.9,118330,118278.8,118330,888072.55614137
1752909300000,118253.8,118296,118253.7,118295.9,379564.297652844
1752909000000,118254.1,118254.2,118205.6,118253.9,321266.163468675
1752908700000,118218,118266.9,118216.1,118254.1,885435.00116618
1752908400000,118168.1,118218,118168,118218,282794.050108496
1752908100000,118137.7,118181.9,118137.7,118168,173903.615074388
1752907800000,118144,118170,118134.2,118137.7,200178.943190746
1752907500000,118104,118150,118104,118144,243410.737032843
1752907200000,118174.4,118174.4,118076,118104,446778.8851661
1752906900000,118149.7,118175,118149.7,118174.4,790048.263468749
1752906600000,118070.1,118149.7,118068.1,118149.6,575814.32115353
1752906300000,118150.1,118190.1,118071.4,118071.4,1010980.004068321
1752906000000,118200,118200,118150,118150,191502.189624462
1752905700000,118208,118208.1,118160,118200,389342.287903152
1752905400000,118269.2,118275.1,118208,118208,444766.41811642
1752905100000,118208,118269.3,118201.2,118269.2,145983.769090636
1752904800000,118208.1,118229.2,118196,118208,842377.836684959
1752904500000,118210.1,118231.5,118208.1,118208.1,126708.918112832
1752904200000,118251.9,118251.9,118193.8,118210,336920.382664364
1752903900000,118277.9,118299.9,118214.1,118251.9,1433375.828470793
1752903600000,118244.1,118295.5,118216.4,118277.8,810956.709124718
1752903300000,118186,118264,118185.9,118244.1,864882.578874723
1752903000000,118142,118186,118118,118186,177842.702022306
1752902700000,118124.5,118148.2,118104,118142,3317715.120482506
1752902400000,118109.5,118149.1,118094,118124.5,1720258.445626062
1752902100000,118071.9,118135.9,118044.1,118109.5,1003690.773184638
1752901800000,118089.4,118097.9,118034.8,118072,585319.310996149
1752901500000,118168,118168,118089.4,118089.4,263362.02474306
1752901200000,118133.6,118180,118124.2,118168.1,1126134.408082247
1752900900000,118169.9,118170,118110,118133.7,872365.327248427
1752900600000,118122,118200,118121.9,118169.9,660698.351004297
1752900300000,118145.3,118160,118071.2,118122,15351025.496886531
1752900000000,118216,118256,118145.4,118145.4,5055241.098681027
1752899700000,118339.9,118344,118141.2,118215.9,19388696.068010275
1752899400000,118201.9,118340,118201.9,118340,8473282.874481113
1752899100000,118232.8,118238,118195.4,118201.9,6722050.887042918
1752898800000,118283.2,118308.8,118231.5,118232.8,9251194.191134359
1752898500000,118373,118400.9,118245.2,118283.1,9456129.888401361
1752898200000,118372,118395.9,118303.5,118373,6945189.326998728
1752897900000,118309.1,118372,118309,118372,17999685.157310869
